,hardware_model,instrument_name,serial_numbers,transmit_frequency,phased_array,cruise_beg_date,blanking_interval,bin_length,transducer_beam_angle,transmit_pulse_length,comments,bw_from_comments,bw_from_hardware_model,bw_from_transmit_frequency,bandwidth
48,VM-150,VM-150,,153 KHz,,1990-12-16 18:26:23.000000000,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///screened for suitable elevation and other///no big gaps///The orientation of the transducer relative///ok,,,,
49,VM-150,VM-150,,153 KHz,,1991-02-01 17:34:01.000000000,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///screened for suitable elevation and other///some gaps in fix file///The orientation of the transducer relative///ok,,,,
50,VM-300,VM-300,,306 KHz,,1991-03-05 19:15:19.000000000,2 m,8 m,30 deg,8 m,Rough weather limited hydrocasts///depth range is roughly inversely proportional///some bottom interference was flagged;///no big gaps in fix file///The orientation of the transducer relative///ok,,,,
51,VM-300,VM-300,,306 KHz,,1991-04-03 20:33:04.000000000,2 m,8 m,30 deg,8 m,depth range is roughly inversely proportional///some bottom interference was flagged;///no big gaps in fix file///The orientation of the transducer relative///ok,,,,
52,VM-300,VM-300,,306 KHz,,1991-05-06 19:06:48.000000000,2 m,8 m,30 deg,8 m,depth range is roughly inversely proportional///some bottom interference was flagged;///no big gaps in fix file///The orientation of the transducer relative///ok,,,,
53,VM-300,VM-300,,306 KHz,,1991-06-03 19:34:20.000000002,2 m,8 m,30 deg,8 m,ADCP was not working for most of Leg 1 until the///depth range is roughly inversely proportional///some bottom interference was flagged;///no big gaps in fix file///The orientation of the transducer relative///ok,,,,
54,VM-300,VM-300,,306 KHz,,1991-07-08 20:06:00.000000000,2 m,8 m,30 deg,8 m,transducer temperature corrected///depth range is roughly inversely proportional///some bottom interference was flagged;///no big gaps in fix file///The orientation of the transducer relative///ok,,,,
55,VM-300,VM-300,,306 KHz,,1991-08-08 19:11:54.000000000,2 m,8 m,30 deg,8 m,transducer temperature not available///depth range is roughly inversely proportional///some bottom interference was flagged;///no big gaps in fix file///The orientation of the transducer relative///ok,,,,
56,VM-150,VM-150,,153 KHz,,1991-09-17 01:23:43.000000000,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///screened for suitable elevation and other///no big gaps///The orientation of the transducer relative///ok,,,,
57,VM-150,VM-150,,153 KHz,,1991-10-19 23:33:43.000000004,4 m,8 m,30 deg,8 m,some bottom interference was flagged;///fixed 2-minute intervals///very clean navigation data///The orientation of the transducer relative///ok,,,,
58,VM-150,VM-150,,153 KHz,,1991-12-04 20:40:29.000000000,4 m,8 m,30 deg,8 m,some bottom interference was flagged;///fixed 2-minute intervals///very clean navigation data///The orientation of the transducer relative///ok,,,,
59,VM-150,VM-150,,153 KHz,,1992-01-03 19:53:36.000000000,4 m,8 m,30 deg,8 m,some bottom interference was flagged;///fixed 2-minute intervals///no big gaps///The orientation of the transducer relative///the raw reference layer velocity estimates were///ok,,,,
60,VM-150,VM-150,,153 KHz,,1992-02-12 21:47:28.000000000,4 m,8 m,30 deg,8 m,some bottom interference was flagged;///fixed 2-minute intervals///less accurate position information since///The orientation of the transducer relative///ok,,,,
61,VM-150,VM-150,,153 KHz,,1992-03-03 18:03:26.000000000,4 m,8 m,30 deg,8 m,some bottom interference was flagged;///fixed 2-minute intervals///no big gaps///The orientation of the transducer relative///ok,,,,
62,VM-150,VM-150,,153 KHz,,1992-04-15 20:39:53.000000000,4 m,8 m,30 deg,8 m,some bottom interference was flagged;///fixed 2-minute intervals///no big gaps///The orientation of the transducer relative///ok,,,,
63,VM-150,VM-150,,153 KHz,,1992-06-05 18:03:38.000000000,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///The orientation of the transducer relative///ok,,,,
64,VM-150,VM-150,,153 KHz,,1992-07-03 17:35:36.000000000,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///The orientation of the transducer relative///ok,,,,
65,VM-150,VM-150,,153 KHz,,1992-08-04 03:33:36.000000000,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///The orientation of the transducer relative///ok,,,,
66,VM-150,VM-150,,153 KHz,,1992-09-20 19:06:25.000000000,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///The orientation of the transducer relative///ok,,,,
67,VM-150,VM-150,,153 KHz,,1992-10-17 18:58:43.000000000,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///The orientation of the transducer relative///ok,,,,
68,VM-150,VM-150,,153 KHz,,1993-01-18 18:41:41.000000000,4 m,8 m,30 deg,8 m,ADCP calibration not possible due///some bottom interference was flagged;///no big gaps in fix file///Too few calibration points; adjacent cruise///ok,,,,
69,VM-150,VM-150,,153 KHz,,1993-04-12 19:27:00.000000000,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///fixed 2-minute intervals///There is///The orientation of the transducer relative///ok,,,,
70,VM-150,VM-150,,153 KHz,,1993-05-18 17:17:16.999999998,4 m,8 m,30 deg,16 m,"GPS infrequent and irregular///clock lots of problems but correctable///some bottom interference was flagged;///The receiver was not working properly, very///ok",,,,
71,VM-150,VM-150,,153 KHz,,1993-09-09 19:56:30.000000000,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///The orientation of the transducer relative///ok,,,,
72,VM-150,VM-150,,153 KHz,,1993-10-27 20:47:18.000000000,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///The orientation of the transducer relative///ok,,,,
73,VM-150,VM-150,,153 KHz,,1994-01-19 19:01:48.999999999,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///The orientation of the transducer relative///ok,,,,
74,VM-150,VM-150,,153 KHz,,1994-02-15 19:17:55.000000000,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///The orientation of the transducer relative///ok,,,,
75,VM-150,VM-150,,153 KHz,,1994-03-07 19:22:13.000000000,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///The orientation of the transducer relative///ok,,,,
76,VM-150,VM-150,,153 KHz,,1994-07-23 18:43:18.000000000,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///The orientation of the transducer relative///ok,,,,
77,VM-150 (NB),VM-150,"System 15, Transducer 199",153 kHz,,1992-11-18 23:02:04.000000000,4m,8m,30 degrees from vertical,8m,"Only approximate GPS positions due to///Beams aligned fore-aft, not 45 degree///In general avoided tight screening of GPS to",,narrowband,,narrowband
78,VM-150 (NB),VM-150,"System 15, Transducer 199",153 kHz,,1993-01-08 00:06:04.000000000,4m,8m (2m for last 5 hours of cruise),30 degrees from vertical,8m (4m for last 5 hours of cruise),"Beams aligned fore-aft, not 45 degree///In general avoided tight screening of GPS to",,narrowband,,narrowband
79,VM-150,VM-150,,153 KHz,,1994-01-27 05:36:53.000000000,4 m,8 m,30 deg,16 m,problems with transducer temperature///data also logged via serial///ok,,,,
80,VM-150,VM-150,,153 KHz,,1994-02-22 23:08:15.000000000,4 m,8 m,30 deg,16 m,problems with transducer temperature///data also logged via serial///ok,,,,
81,VM-150,VM-150,,153 KHz,,1994-03-28 06:48:51.000000000,4 m,8 m,30 deg,16 m,problems with transducer temperature///data also logged via serial///ok,,,,
82,RD-VM150,VM-150,,153 kHz,,1994-01-25 20:33:51.999999999,4 m,8 m,30 deg.,16 m,"no major problems,///data quality good",,,,
83,RD-VM150,VM-150,,153 kHz,,1992-11-06 12:11:33.000000000,4 m,8 m,30 deg.,8 m,,,,,
84,RD-VM150,VM-150,,153 kHz,,1992-12-14 05:48:41.000000000,4 m,8 m,30 deg.,8 m,,,,,
85,RD-VM150,VM-150,,153 kHz,,1993-01-23 23:39:24.999999999,4 m,8 m,30 deg.,8 m,,,,,
86,RD-VM300,VM-300,,306.8 kHz,,1992-11-07 16:28:56.000000000,4 m,4 m,30 deg.,4 m,,,,,
87,RD-VM300,VM-300,,306.8 kHz,,1992-12-16 21:12:02.000000000,4 m,4 m,30 deg.,4 m,,,,,
88,RD-VM300,VM-300,,306.8 kHz,,1993-01-28 11:53:12.000000000,4 m,4 m,30 deg.,4 m,,,,,
89,RD-VM150,VM-150,ADCP = 536 / XDUC = 449,153 kHz,,1992-10-30 22:16:41.000000000,...,,30 deg.,,The only significant deviations from///vessel length///A user exit program automatically resets///Prior to 93/4/15 the gyrocompass///Bottom tracking is done for about///Data quality is dependent upon load,,,,
90,RD-VM150,VM-150,ADCP = 536 / XDUC = 449,153 kHz,,1993-03-27 07:11:19.000000000,...,,30 deg.,,The only significant deviations from///vessel length///A user exit program automatically resets///Prior to 93/4/15 the gyrocompass///Bottom tracking is done for about///Data quality is dependent upon load,,,,
91,RD-VM150,VM-150,ADCP = 536 / XDUC = 449,153 kHz,,1993-06-18 21:08:57.000000000,...,,30 deg.,,The only significant deviations from///vessel length///A user exit program automatically resets///Prior to 93/4/15 the gyrocompass///Bottom tracking is done for about///Data quality is dependent upon load,,,,
92,RD-VM150,VM-150,ADCP = 536 / XDUC = 449,153 kHz,,1993-08-06 22:17:48.000000000,...,,30 deg.,,The only significant deviations from///vessel length///A user exit program automatically resets///Prior to 93/4/15 the gyrocompass///Bottom tracking is done for about///Data quality is dependent upon load,,,,
93,RD-VM150,VM-150,ADCP = 536 / XDUC = 449,153 kHz,,1993-10-01 21:58:01.000000000,...,,30 deg.,,The only significant deviations from///vessel length///A user exit program automatically resets///Prior to 93/4/15 the gyrocompass///Bottom tracking is done for about///Data quality is dependent upon load,,,,
94,VM-150,VM-150,,153 KHz,,1994-08-28 20:39:56.000000000,4 m,8 m,30 deg,16 m,"(B:block, BT: bottom track, SI: ensemble length)///some bottom interference was flagged;///The orientation of the transducer relative///ok",,,,
95,VM-150,VM-150,,153 KHz,,1994-09-22 00:19:43.000000000,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///The orientation of the transducer relative///ok,,,,
96,VM-150,VM-150,,153 KHz,,1994-10-13 19:21:03.000000000,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///The orientation of the transducer relative///ok,,,,
97,VM-150,VM-150,,153 KHz,,1994-11-17 19:29:47.000000000,4 m,8 m,30 deg,16 m,date and time problems with PC clock///some bottom interference was flagged;///The orientation of the transducer relative///ok,,,,
98,VM-150,VM-150,,153 KHz,,1995-02-04 21:08:29.000000000,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///The orientation of the transducer relative///ok,,,,
99,VM-150,VM-150,,153 KHz,,1995-03-02 19:10:30.000000000,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///The orientation of the transducer relative///ok,,,,
100,VM-150,VM-150,,153 KHz,,1995-04-04 18:59:46.000000000,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///The orientation of the transducer relative///ok,,,,
101,VM-150,VM-150,,153 KHz,,1995-05-05 19:21:32.000000000,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///The orientation of the transducer relative///ok,,,,
102,VM-150,VM-150,,153 KHz,,1994-06-18 00:38:02.000000000,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///The orientation of the transducer relative///ok,,,,
103,VM-150,VM-150,,153 KHz,,1995-08-27 19:20:36.000000000,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///The orientation of the transducer relative///ok,,,,
104,VM-150,VM-150,,153 KHz,,1995-09-25 19:05:43.000000000,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///The orientation of the transducer relative///ok,,,,
105,RD-VM150,VM-150,,153 kHz,,1994-01-24 18:55:26.000000000,4 m,8 m,30 deg.,16 m,normal editing procedure; no major problems///normal; no gps gaps///ok,,,,
106,RD-VM150,VM-150,,153 kHz,,1994-02-01 06:00:45.000000000,4 m,8 m,30 deg.,16 m,normal editing procedure; no major problems///normal; no gps gaps///ok,,,,
107,RD-VM150,VM-150,,153 kHz,,1994-02-07 00:01:31.000000000,4 m,8 m,30 deg.,16 m,normal editing procedure; no major problems///normal; no gps gaps///ok,,,,
108,RD-VM150,VM-150,,153 kHz,,1994-02-12 21:32:47.000000000,4 m,8 m,30 deg.,16 m,normal editing procedure; no major problems///normal; no gps gaps///ok,,,,
109,RD-VM150,VM-150,unconfirmed,153 kHz,,1986-11-17 21:07:04.000000000,2 m,8 m,30 deg.,8 m,"The choice of 2 m as blanking interval was found///The depth range was reduced due to substandard///poor to fair quality///cruise plagued by gaps, but a few worthy sections",,,,
110,RD-VM150,VM-150,unconfirmed,153 kHz,,1987-09-20 15:49:15.000000000,2 m,8 m,30 deg.,8 m,The choice of 2 m as blanking interval was found///inadequate blanking interval caused corruption///poor to fair quality,,,,
111,RD-VM150,VM-150,unconfirmed,153 kHz,,1988-04-21 09:16:41.000000000,2 m,8 m,30 deg.,16 m,The choice of 2 m as blanking interval was found///inadequate blanking interval caused corruption///poor to fair quality,,,,
112,RD-VM150,VM-150,unconfirmed,153 kHz,,1988-10-16 07:20:29.000000000,4 m,8 m,30 deg.,16 m,DAS option for screening based on error-velocity applied///poor to fair quality,,,,
113,RD-VM150,VM-150,unconfirmed,153 kHz,,1989-04-20 00:48:20.000000000,4 m,8 m,30 deg.,16 m,DAS option for screening based on error-velocity applied///poor to fair quality,,,,
114,RD-VM150,VM-150,unconfirmed,153 kHz,,1989-11-10 22:15:59.000000000,4 m,8 m,30 deg.,16 m,Rough weather on way to port in Guam and also on leg 3///DAS option for screening based on error-velocity applied///poor to fair quality,,,,
115,RD-VM150,VM-150,unconfirmed,153 kHz,,1990-05-31 02:27:40.000000002,4 m,8 m,30 deg.,16 m,DAS option for screening based on error-velocity applied///poor to fair quality///good to excellent quality (selective availability was not,,,,
116,RD-VM150,VM-150,,153 kHz,,1992-02-18 07:13:54.000000000,4 m,8 m,30 deg.,8 m,data quality good,,,,
117,RD-VM150,VM-150,,153 kHz,,1992-08-12 05:49:47.000000000,4 m,8 m,30 deg.,16 m,only GPS fixes used; one-hour filter-width///ok,,,,
118,VM-150,VM-150,,153 KHz,,1995-10-25 18:56:24.000000000,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///The orientation of the transducer relative///ok,,,,
119,VM-150,VM-150,,153 KHz,,1995-11-12 20:28:19.000000000,4 m,8 m,30 deg,16 m,for the first leg the PC clock was off by///some bottom interference was flagged;///The orientation of the transducer relative///ok,,,,
120,VM-150 Narrowband,VM-150,500,150 kHz,,1995-03-23 16:40:58.000000000,4 m,8 m,30 Deg,8 m,"(notes from proposal for ship time):///Transducer was replaced 95/10.///Transducer replaced 95/10, Acoustic window///temperature series ok.///there are big gaps in position in the user buffer;///ok",,narrowband,,narrowband
121,RDI VM150 narrowband,VM-150,transducer s/n 171,,,1994-09-22 08:30:06.000000000,4 m,8 m,,16 m,,,narrowband,,narrowband
122,VM-150,VM-150,,,,1996-01-15 19:02:39.000000000,4 m,8 m,,16 m,some bottom interference was flagged;///The orientation of the transducer relative///ok,,,,
123,RD-VM150,VM-150,,,,1992-09-19 06:30:57.000000000,4 m,8 m,,8 m,"time correction applied, clock_rate:0.9996922///data quality good",,,,
124,RD-VM300,VM-300,,306.8 kHz,,1992-11-09 23:34:00.000000000,2 m,4 m,,4 m,"No calibration.///No PerCent Good, Amplitude, or other///Only transducer temperature, ship speed,///On station data have minimal errors.///Reasonable agreement with data from Shi Yan,",,,,
125,RD-VM300,VM-300,,306.8 kHz,,1992-12-18 20:14:00.000000000,2 m,4 m,,4 m,"No calibration.///No PerCent Good, Amplitude, or other///Only transducer temperature, ship speed,///On station data have minimal errors.///Reasonable agreement with data from Shi Yan,",,,,
126,RD-VM300,VM-300,,306.8 kHz,,1993-01-31 19:27:00.000000000,2 m,4 m,,4 m,"No calibration.///No PerCent Good, Amplitude, or other///Only transducer temperature, ship speed,///On station data have minimal errors.///Reasonable agreement with data from Shi Yan,",,,,
127,RD-VM150,VM-150,,,,1995-07-14 08:43:01.000000000,4 m,8 m,,16 m,transit; no ashtech 3df data///normal editing procedure; no major problems///applied HOT58-63 calibration values///normal; no gps gaps///ok,,,,
128,RD-VM150,VM-150,,,,1995-08-04 01:06:05.000000000,4 m,8 m,,16 m,normal editing procedure; no major problems///normal; no gps gaps///ok,,,,
129,VM-150,VM-150,,,,1996-03-25 18:32:07.000000000,4 m,8 m,,16 m,"PC clock behind by 12 hours, corrected.///some bottom interference was flagged;///The orientation of the transducer relative///ok",,,,
130,VM-150,VM-150,,,,1996-04-22 19:08:07.000000000,4 m,8 m,,16 m,"PC clock behind by 12 hours, corrected.///some bottom interference was flagged;///The orientation of the transducer relative///ok",,,,
131,VM-150,VM-150,,153 KHz,,1995-10-12 14:30:13.000000000,4 m,8 m,30 deg,8 m,ok,,,,
132,VM-150,VM-150,,153 KHz,,1995-08-27 21:57:40.000000000,4 m,8 m,30 deg,8 m,"The primary mission of this cruise was the recovery,///ok",,,,
133,RD-VM150,VM-150,,153 kHz,,1993-10-05 04:55:45.000000004,4 m,8 m,30 deg.,16 m,3-beam solutions were used during data acquisition///data quality good,,,,
134,VM-150,VM-150,,153 KHz,,1994-02-03 21:35:07.000000000,4 m,8 m,30 deg,8 m,This dataset was updated in the NODC archive///Fixtemp ran to correct transducer temperature///some gaps as noted above///Too few calibration points; adjacent cruise///ok,,,,
135,VM-150,VM-150,,153 KHz,,1995-10-23 19:39:00.000000000,4 m,8 m,30 deg,16 m,Temperature record fine.///some gaps throughout (~20 to 50 min)///ok,,,,
136,VM-150,VM-150,,153 KHz,,1994-07-16 05:17:55.000000000,4 m,8 m,30 deg,8 m,transducer temperature record fine///no gaps///ok,,,,
137,VM-150,VM-150,,153 KHz,,1994-09-15 05:15:56.000000004,4 m,8 m,30 deg,16 m,transducer temperature record fine///ok,,,,
138,VM-150,VM-150,,153 KHz,,1995-11-15 08:39:45.000000000,4 m,8 m,30 deg,8 m,Atmospheric aerosols study///several gaps lasting for several hours on///ok,,,,
139,VM-150,VM-150,,,,1996-05-20 18:36:00.000000000,4 m,8 m,,16 m,"time error: 24hrs, 1.0 clkrate for 1st 2 hours of Leg I///some bottom interference was flagged;///The orientation of the transducer relative///ok",,,,
140,150 kHz,ZUNCLEAR: 150 kHz,,,,1994-09-07 05:13:17.000000000,4m,8m,,4m,The data provide fine detail of the energetic///8m bin length and 4m pulse is not///clock drift corrected during loading into CODAS:,,,,
141,150 kHz,ZUNCLEAR: 150 kHz,,,,1994-10-13 23:37:00.000000000,4m,8m,,4m,Lots of fine weather.///8m bin length and 4m pulse is not///clock drift corrected during loading into CODAS:,,,,
142,VM-150,VM-150,,,,1996-06-24 19:03:01.000000000,4 m,8 m,,16 m,some bottom interference was flagged;///The orientation of the transducer relative///ok,,,,
143,VM-150,VM-150,,,,1996-07-08 18:35:52.000000000,4 m,8 m,,16 m,some bottom interference was flagged;///The orientation of the transducer relative///ok,,,,
144,VM-150,VM-150,,,,1996-07-25 18:26:46.000000000,4 m,8 m,,16 m,some bottom interference was flagged;///The orientation of the transducer relative///ok,,,,
145,VM-150,VM-150,,,,1996-08-19 18:56:46.000000000,4 m,8 m,,16 m,some bottom interference was flagged;///The orientation of the transducer relative///ok,,,,
146,150 kHz,ZUNCLEAR: 150 kHz,,,,1994-11-13 00:54:45.000000000,4m,8m,,4m,8m bin length and 4m pulse is not///clock drift corrected during loading into CODAS:,,,,
147,VM-150,VM-150,,153 KHz,,1989-01-18 00:27:05.000000000,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///screened for suitable elevation and other///lots of gaps///The orientation of the transducer relative///ok,,,,
